title,genres,description
Inception,Sci-Fi Thriller Action,A thief who steals corporate secrets through the use of dream-sharing technology.
Interstellar,Sci-Fi Drama Adventure,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Dark Knight,Action Crime Drama,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham.
The Matrix,Sci-Fi Action,A computer hacker learns from mysterious rebels about the true nature of his reality.
The Avengers,Action Adventure Sci-Fi,Earth's mightiest heroes must come together and learn to fight as a team to stop Loki.
Spirited Away,Animation Fantasy Family,"A young girl wanders into a world ruled by gods, witches, and spirits."
Toy Story,Animation Comedy Family,A cowboy doll is profoundly threatened and jealous when a new spaceman figure arrives.
Finding Nemo,Animation Adventure Family,"After his son is captured in the Great Barrier Reef, a timid clownfish embarks on a journey."
The Godfather,Crime Drama,The aging patriarch of an organized crime dynasty transfers control of his empire to his son.
Pulp Fiction,Crime Drama Thriller,"The lives of two mob hitmen, a boxer, and a gangster's wife intertwine in tales of redemption."
Goodfellas,Crime Drama,"The story of Henry Hill and his life in the mob, covering his relationships with partners."
The Conjuring,Horror Mystery Thriller,Paranormal investigators work to help a family terrorized by a dark presence in their farmhouse.
Insidious,Horror Mystery Thriller,A family looks to prevent evil spirits from trapping their comatose child in a dark realm.
Get Out,Horror Mystery Thriller,A young African-American visits his white girlfriend's parents and uncovers a disturbing secret.
La La Land,Romance Comedy Drama,"While navigating their careers in Los Angeles, a pianist and an actress fall in love."
The Notebook,Romance Drama,"A poor boy and a rich girl fall in love, but they are soon separated by social differences."
